TMSB4X	883674
MALAT1	504124
RPL13	420082
RPS2	407028
RPS18	387147
IGLC3	356603
RPS4X	342618
RPS3	272181
RPS6	262458
GAPDH,GAPDH-AS1	261406
RPLP1	236752
RPL8	233792
RPL29	222622
RPS14	218106
RPL10	216873
RPS19	216484
RPL19	210678
B2M	191863
RPL11	189855
MT-CO3	184342
RPL10A	178786
MT-CO2	175579
RPL15	175219
RPL7A	174301
RPS8	171899
RPS5	171774
RPS12	170558
ACTB	167115
FTL	166772
RPS9	163939
RPS27A	163154
MT-CO1	161349
BEST1,FTH1	156018
MT-ND4	154585
RPL18	152985
RPL13A	151535
RPLP0	150459
ACTG1	147170
RPS16	146061
CD74	146036
PFN1	135729
RPL27A	129908
RPL32	125948
RACK1	123108
RPL28	119084
RPS7	115917
RPL23A	114195
RPL12	111562
RPL5	109954
RPL14	107198
RPL4	104143
MT-CYB	102846
RPL17-C18orf32,RPL17	101267
RPLP2	95523
MT-ND2	93231
TPT1	93035
RPS13	92952
RPS17,ENSG00000260836	89595
RPS15A	87551
RPS23	86212
MT-ND1	84042
RPS15	83409
TMSB10	82873
PTMA	82844
ATG10,RPS23	81625
RPL21	79408
RPS24	77704
RPS20	75988
IGHG1	75329
NACA	72630
HLA-DRA	71436
CHCHD3	68409
EEF1G,ENSG00000255508	67070
RPL26	65552
RPS10-NUDT3,RPS10	65412
ENSG00000251357,MIF,MIF-AS1	64940
RPL35	64839
RPL24	64461
SLC25A6	64391
RPS11	64185
YBX1	64081
OAZ1	63649
EEF1B2	63643
RPL34	62956
RPL35A	60880
RPL27	58125
RPL6	57277
BTF3	57221
RPL36	55960
TPI1	53656
UBA52	53054
CFL1	52273
SUB1	51936
LRRC75A	51798
H2AZ1	51409
EIF1	49661
RPL37A	48699
LDHA	47784
RPL23	47407
MT-ATP6	47120
CHCHD2	46409
EEF2	46255
LGALS1	45677
NME1-NME2,NME2	45440
ENSG00000285043,ALDOA	44001
RPS25	43645
ENO1	43600
TUBA1B,TUBA1B-AS1	42858
SERF2	42664
MYL6	42581
ISG15	42577
FAU	42090
RAN	41967
PKM	40691
ARPC2	39102
EEF1D	38761
RPL31	38619
H3-3B	37966
RPL30	37916
NPM1	37831
ARHGDIB	37809
COX4I1	37194
HINT1	36055
FAM153CP	35759
HLA-B	35288
ATP5MC3	35180
MTDH	34722
RPL37	34382
GSTP1	34158
HSP90AA1	34144
RPL39	32677
NCL	32083
GAPDH	31024
TUBB	30604
RPL3	30601
RPS3A	30471
COTL1	29710
LDHB	28652
PABPC1	28587
HLA-A	28077
EEF1A1	27805
MXD3,PRELID1	27674
HMGA1,SMIM29	27215
ENSG00000263809,RPL26	26828
SENP3-EIF4A1,EIF4A1	26659
DBI	26163
HLA-DPB1	26144
CYBA	25792
RPS29	25385
CORO1A	25373
HLA-C	24907
RPS21	24570
RPL30,RPL30-AS1	24499
IFITM1	24355
UQCRH	24140
HNRNPA1	24043
HMGB2	23964
EIF2AK4,SRP14	23864
SLC25A3	23716
ATP5MC2	23661
PARK7	23554
RPL36AL	23447
PLAC8	23437
RPSA	23377
HSP90AB1	23330
NAP1L1	23102
SNRPB	22435
IGKC	21856
CLIC1	21603
HMGN1	21480
RPL22L1	21298
HSPA8	21063
PPIA	20739
HMGB1	20606
MT-ND5	20534
COX5A	20378
CD48	20103
EDF1	20063
PSMA7	19967
PCNP	19930
EIF3E	19654
ATP5MG	19417
ATP5F1D	19338
GUK1	19299
TXN	19254
DYNLL1	19073
CALM2	18967
UBB	18800
PDLIM1	18721
HLA-DPA1	18582
EIF3H	18577
JCHAIN	18472
LY6E	18309
CYCS	18243
ID3	18083
C1QBP	18076
SEC61B	17965
RANBP1	17650
APRT	17624
RPL7	17408
ARPC1B	17403
MARCKSL1	17330
CALM3	17260
HNRNPA2B1	17232
ENSG00000284292,ARPC1B	17066
JPT1	16939
MZB1	16815
COXFA4	16737
ARPC3	16694
LSM4	16632
RPL38	16573
RPL18A	16561
EIF3K	16483
GPX4	16424
RPS27	16314
SRSF3	16282
POMP	16229
EIF3L	16177
LIMD2	16096
RPS17	16095
ATP5PO	16042
SET	15984
ENSG00000256646,PSMA2	15938
NOP53	15774
PSME2	15754
AURKAIP1	15733
MYL12A	15719
BST2	15636
EIF3F	15633
ARPC5	15622
SERBP1	15450
ARL6IP4	15403
